trip_name,introduction,area,difficult,trip_length,price,link
נחל מעפילים,"בין עצי החורש מעל ערוץ הנחל, מסתתר המסלול החשאי שבו הגניבו מפקדי הפלמח את המעפילים ממחנה העצורים בעתלית דרך בית אורן ליגור. הדרך מוצלת ומתאימה לטיול ברוב ימות השנה למשפחות וחובבי לכת""",רמת הגולן,קשה,30,150,https://www.teva.org.il/tracks/9946
נחל קדש,מסלול קצר ומלהיב למרגלות מצודת כח בהרי נפתלי. הדרך יורדת ועולה במדרגות הסלע בצל העצים,גליל עליון,קל,12,0,https://www.teva.org.il/tracks/8462
שביל החורש שתולה,"שביל החורש שתולה הוא אתר טיולים נפלא בליבו של החורש ים-תיכוני, עם כמה אפשרויות למסלולים לכל המשפחה. הדרך עוברת באתרים ייחודיים ומלהיבים, ביניהם הלוע באדמה העמוק בארץ ותצפית על הגליל העליון מזווית לא מוכרת",כנרת,קל,15,50,https://www.teva.org.il/tracks/8628
הר חומה,"בדרום ירושלים, בצמוד לשכונת הר החומה, משתרעת גבעה צנועה הטומנת בחובה סמוך לשרידים מאמת מים עתיקה נחפש דורס לילה קטן וקטלני וקוקיות מקננות. ציפורים יפהפיות, צמחים נדירים והיסטוריה מרתקת. על הקרקע נמצא סחלבים, דבורניות ואולי גם שועל או תן. נהנה מהנוף האביבי ומהליכה רגועה בבוקר שישי ירושלמי.",מרכז,קשה,10,0,https://www.teva.org.il/product/aparut-jerus-10-03
שביל ישראל מקטע 8:מגדל-חצר כנרת,״הוי כנרת שלי..״ – גולת הכותרת של מקטע זה בשביל ישראל הן התצפיות המרהיבות על הכנרת מזוויות שונות.,כנרת,קל,23,0,
נחל מירון ונחל עמוד תחתון,"את תחילת הקיץ ""נחגוג"" בקטע יפהפה של נחל עמוד, עם בריכות מים צלולים, בוסתנים, עצי דולב גבוהים ועוד הפתעות. נתחיל ליד מושב מירון, נרד בנחל מירון תחתון אל עין יקים, נטבול בבריכות של נחל עמוד עליון ונסיים בעלייה לשייח כוואס.",גליל תחתון,קל,30,21,https://www.teva.org.il/product/shvilisrael-galil-03-06
המושבה הציורית ראש פינה,"נתחיל את הטיול שלנו בביקור בראש פינה העתיקה, נשמע על מוסדות הברון ועל האתגרים איתם נאלצו להתמודד החלוצים שהגיעו הנה. לאחר מכן נמשיך ונטפס בין הסמטאות ונגיע למצפה נמרוד המעניק נקודת תצפית מרהיבה לעבר עמק החולה.",רמת הגולן,בינוני,12,0,https://www.teva.org.il/product/galil-family-04-03
 הר אבינדב ונחל צביה ,"הר אבינדב הצופה לנוף נפלא. נדבר על פרוייקט אנרגיית הרוח והאנרגיה השאובה. למרגלותיו של ההר, מתחתר נחל צביה היורד אל עמק המעיינות. נפתח בירידה מתונה בין אלפי פרחים צבעוניים ונמשיך בירידה בערוץ ההופך בסופו למאתגר מעט, עם מדרגות סלע יפות בין מצוקי גיר.",מרכז,קשה,15,24,
נחל כפירה,"נחל כפירה הסמוך ליישוב נטף מספק הצצה לנוף המקורי של שדרת ההר הישראלית – שטח קשוח ורחב ידיים, מדלג בין ערוצים עמוקים וגבעות חשופות.",מרכז,קל,10,0,https://www.teva.org.il/product/zaparut-jerus-05-05
נחל עמוד עליון,בשיא עונת הפריחה בגולן נטייל בצפון ובדרום הרמה בנחלים יפים וזורמים.,רמת הגולן,קל,23,0,
